Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Pagophilus,groenlandicus,67.25,47.25,1604:477:1,0.09
Pagophilus,groenlandicus,67.25,47.75,1604:477:2,0.07
Pagophilus,groenlandicus,67.75,48.75,1604:478:4,0.08
Pagophilus,groenlandicus,67.75,49.25,1604:479:3,0.08
Pagophilus,groenlandicus,68.25,45.75,1604:485:2,0.06
Pagophilus,groenlandicus,68.25,49.25,1604:489:1,0.19
Pagophilus,groenlandicus,68.75,49.25,1604:489:3,0.19
Pagophilus,groenlandicus,69.25,48.25,1604:498:1,0.18
Pagophilus,groenlandicus,69.25,48.75,1604:498:2,0.06
Pagophilus,groenlandicus,69.25,49.75,1604:499:2,0.19
Pagophilus,groenlandicus,68.25,50.75,1605:380:2,0.14
Pagophilus,groenlandicus,68.25,51.25,1605:381:1,0.02
Pagophilus,groenlandicus,68.75,51.75,1605:381:4,0.18
Pagophilus,groenlandicus,68.25,52.25,1605:382:1,0.02
Pagophilus,groenlandicus,68.25,52.75,1605:382:2,0.02
Pagophilus,groenlandicus,68.75,52.25,1605:382:3,0.12
Pagophilus,groenlandicus,68.75,52.75,1605:382:4,0.1
Pagophilus,groenlandicus,68.25,53.25,1605:383:1,0.01
Pagophilus,groenlandicus,68.75,53.25,1605:383:3,0.11
Pagophilus,groenlandicus,68.75,53.75,1605:383:4,0.03
Pagophilus,groenlandicus,68.25,54.25,1605:384:1,0.01
Pagophilus,groenlandicus,68.25,54.75,1605:384:2,0.01
Pagophilus,groenlandicus,68.75,54.25,1605:384:3,0.02
Pagophilus,groenlandicus,68.75,54.75,1605:384:4,0.04
Pagophilus,groenlandicus,68.25,55.25,1605:485:1,0.01
Pagophilus,groenlandicus,68.75,55.25,1605:485:3,0.04
Pagophilus,groenlandicus,68.75,55.75,1605:485:4,0.03
Pagophilus,groenlandicus,68.75,56.25,1605:486:3,0.04
Pagophilus,groenlandicus,68.75,56.75,1605:486:4,0.05
Pagophilus,groenlandicus,68.75,57.25,1605:487:3,0.05
Pagophilus,groenlandicus,68.75,57.75,1605:487:4,0.05
Pagophilus,groenlandicus,68.75,58.25,1605:488:3,0.05
Pagophilus,groenlandicus,68.75,58.75,1605:488:4,0.01
Pagophilus,groenlandicus,68.25,59.25,1605:489:1,0.03
Pagophilus,groenlandicus,68.25,59.75,1605:489:2,0.03
Pagophilus,groenlandicus,68.75,59.25,1605:489:3,0.04
